Areaname,Area,Areatype,Stfips,Maparea,Stateabbrv,Periodyear,Periodtype,Period,Timeperiod,Adjusted,Laborforce,Emplab,Unemp,Unemprate,Clfprate,Emppopratio,Fullperiod,Sortperiod,Rank,Preliminary,prelim
United States,000000,00,00,0000000000,US,2018,01,00,2018,0,162075000,155761000,6314000,3.90,62.9,60.4,20180100,01201800,0,No,0
New Mexico,000000,01,35,3501000000,NM,2018,01,00,2018,0,947642,900803,46839,4.90,58.1,55.2,20180100,01201800,1,No,0
Bernalillo County,000001,04,35,3504000001,NM,2018,01,00,2018,0,331465,316532,14933,4.50,,,20180100,01201800,2,No,0
Catron County,000003,04,35,3504000003,NM,2018,01,00,2018,0,1125,1053,72,6.40,,,20180100,01201800,3,No,0
Chaves County,000005,04,35,3504000005,NM,2018,01,00,2018,0,27327,26000,1327,4.90,,,20180100,01201800,4,No,0
Cibola County,000006,04,35,3504000006,NM,2018,01,00,2018,0,8988,8428,560,6.20,,,20180100,01201800,5,No,0
Colfax County,000007,04,35,3504000007,NM,2018,01,00,2018,0,5536,5265,271,4.90,,,20180100,01201800,6,No,0
Curry County,000009,04,35,3504000009,NM,2018,01,00,2018,0,21746,20873,873,4.00,,,20180100,01201800,7,No,0
De Baca County,000011,04,35,3504000011,NM,2018,01,00,2018,0,770,736,34,4.40,,,20180100,01201800,8,No,0
Doña Ana County,000013,04,35,3504000013,NM,2018,01,00,2018,0,97154,91628,5526,5.70,,,20180100,01201800,9,No,0
Eddy County,000015,04,35,3504000015,NM,2018,01,00,2018,0,31766,30709,1057,3.30,,,20180100,01201800,10,No,0
Grant County,000017,04,35,3504000017,NM,2018,01,00,2018,0,12377,11779,598,4.80,,,20180100,01201800,11,No,0
Guadalupe County,000019,04,35,3504000019,NM,2018,01,00,2018,0,1632,1542,90,5.50,,,20180100,01201800,12,No,0
Harding County,000021,04,35,3504000021,NM,2018,01,00,2018,0,280,265,15,5.40,,,20180100,01201800,13,No,0
Hidalgo County,000023,04,35,3504000023,NM,2018,01,00,2018,0,2226,2142,84,3.80,,,20180100,01201800,14,No,0
Lea County,000025,04,35,3504000025,NM,2018,01,00,2018,0,30186,28936,1250,4.10,,,20180100,01201800,15,No,0
Lincoln County,000027,04,35,3504000027,NM,2018,01,00,2018,0,8775,8375,400,4.60,,,20180100,01201800,16,No,0
Los Alamos County,000028,04,35,3504000028,NM,2018,01,00,2018,0,9165,8853,312,3.40,,,20180100,01201800,17,No,0
Luna County,000029,04,35,3504000029,NM,2018,01,00,2018,0,10213,9004,1209,11.80,,,20180100,01201800,18,No,0
McKinley County,000031,04,35,3504000031,NM,2018,01,00,2018,0,23983,22281,1702,7.10,,,20180100,01201800,19,No,0
Mora County,000033,04,35,3504000033,NM,2018,01,00,2018,0,2291,2152,139,6.10,,,20180100,01201800,20,No,0
Otero County,000035,04,35,3504000035,NM,2018,01,00,2018,0,24846,23625,1221,4.90,,,20180100,01201800,21,No,0
Quay County,000037,04,35,3504000037,NM,2018,01,00,2018,0,3233,3078,155,4.80,,,20180100,01201800,22,No,0
Rio Arriba County,000039,04,35,3504000039,NM,2018,01,00,2018,0,16728,15858,870,5.20,,,20180100,01201800,23,No,0
Roosevelt County,000041,04,35,3504000041,NM,2018,01,00,2018,0,7876,7535,341,4.30,,,20180100,01201800,24,No,0
Sandoval County,000043,04,35,3504000043,NM,2018,01,00,2018,0,66038,62774,3264,4.90,,,20180100,01201800,25,No,0
San Juan County,000045,04,35,3504000045,NM,2018,01,00,2018,0,52605,49572,3033,5.80,,,20180100,01201800,26,No,0
San Miguel County,000047,04,35,3504000047,NM,2018,01,00,2018,0,10990,10339,651,5.90,,,20180100,01201800,27,No,0
Santa Fe County,000049,04,35,3504000049,NM,2018,01,00,2018,0,74640,71548,3092,4.10,,,20180100,01201800,28,No,0
Sierra County,000051,04,35,3504000051,NM,2018,01,00,2018,0,4119,3831,288,7.00,,,20180100,01201800,29,No,0
Socorro County,000053,04,35,3504000053,NM,2018,01,00,2018,0,6487,6145,342,5.30,,,20180100,01201800,30,No,0
Taos County,000055,04,35,3504000055,NM,2018,01,00,2018,0,15102,14120,982,6.50,,,20180100,01201800,31,No,0
Torrance County,000057,04,35,3504000057,NM,2018,01,00,2018,0,5648,5218,430,7.60,,,20180100,01201800,32,No,0
Union County,000059,04,35,3504000059,NM,2018,01,00,2018,0,1794,1735,59,3.30,,,20180100,01201800,33,No,0
Valencia County,000061,04,35,3504000061,NM,2018,01,00,2018,0,30536,28875,1661,5.40,,,20180100,01201800,34,No,0
Central Region,000005,15,35,3515000005,NM,2018,01,00,2018,0,433687,413399,20288,4.70,,,20180100,01201800,35,No,0
Southwestern Region,000010,15,35,3515000010,NM,2018,01,00,2018,0,133701,125582,8119,6.10,,,20180100,01201800,36,No,0
Northern Region,000015,15,35,3515000015,NM,2018,01,00,2018,0,220028,208416,11612,5.30,,,20180100,01201800,37,No,0
Eastern Region,000020,15,35,3515000020,NM,2018,01,00,2018,0,160231,153409,6822,4.30,,,20180100,01201800,38,No,0
Albuquerque MSA,010740,21,35,3521010740,NM,2018,01,00,2018,0,433687,413399,20288,4.70,,,20180100,01201800,39,No,0
Farmington MSA,022140,21,35,3521022140,NM,2018,01,00,2018,0,52605,49572,3033,5.80,,,20180100,01201800,40,No,0
Las Cruces MSA,029740,21,35,3521029740,NM,2018,01,00,2018,0,97154,91628,5526,5.70,,,20180100,01201800,41,No,0
Santa Fe MSA,042140,21,35,3521042140,NM,2018,01,00,2018,0,74640,71548,3092,4.10,,,20180100,01201800,42,No,0
United States,000000,00,00,0000000000,US,2018,03,01,"January, 2018",0,160037000,152848000,7189000,4.50,62.3,59.5,20180301,03201801,43,No,0
New Mexico,000000,01,35,3501000000,NM,2018,03,01,"January, 2018",0,936837,886346,50491,5.40,57.5,54.4,20180301,03201801,44,No,0
Bernalillo County,000001,04,35,3504000001,NM,2018,03,01,"January, 2018",0,328827,313155,15672,4.80,,,20180301,03201801,45,No,0
Catron County,000003,04,35,3504000003,NM,2018,03,01,"January, 2018",0,1154,1063,91,7.90,,,20180301,03201801,46,No,0
Chaves County,000005,04,35,3504000005,NM,2018,03,01,"January, 2018",0,27308,25862,1446,5.30,,,20180301,03201801,47,No,0
Cibola County,000006,04,35,3504000006,NM,2018,03,01,"January, 2018",0,8949,8354,595,6.60,,,20180301,03201801,48,No,0
Colfax County,000007,04,35,3504000007,NM,2018,03,01,"January, 2018",0,5460,5166,294,5.40,,,20180301,03201801,49,No,0
Curry County,000009,04,35,3504000009,NM,2018,03,01,"January, 2018",0,21778,20894,884,4.10,,,20180301,03201801,50,No,0
De Baca County,000011,04,35,3504000011,NM,2018,03,01,"January, 2018",0,814,780,34,4.20,,,20180301,03201801,51,No,0
Doña Ana County,000013,04,35,3504000013,NM,2018,03,01,"January, 2018",0,94995,88925,6070,6.40,,,20180301,03201801,52,No,0
Eddy County,000015,04,35,3504000015,NM,2018,03,01,"January, 2018",0,30369,29253,1116,3.70,,,20180301,03201801,53,No,0
Grant County,000017,04,35,3504000017,NM,2018,03,01,"January, 2018",0,12142,11492,650,5.40,,,20180301,03201801,54,No,0
Guadalupe County,000019,04,35,3504000019,NM,2018,03,01,"January, 2018",0,1598,1505,93,5.80,,,20180301,03201801,55,No,0
Harding County,000021,04,35,3504000021,NM,2018,03,01,"January, 2018",0,273,260,13,4.80,,,20180301,03201801,56,No,0
Hidalgo County,000023,04,35,3504000023,NM,2018,03,01,"January, 2018",0,2150,2044,106,4.90,,,20180301,03201801,57,No,0
Lea County,000025,04,35,3504000025,NM,2018,03,01,"January, 2018",0,28821,27477,1344,4.70,,,20180301,03201801,58,No,0
Lincoln County,000027,04,35,3504000027,NM,2018,03,01,"January, 2018",0,8491,8049,442,5.20,,,20180301,03201801,59,No,0
Los Alamos County,000028,04,35,3504000028,NM,2018,03,01,"January, 2018",0,8970,8660,310,3.50,,,20180301,03201801,60,No,0
Luna County,000029,04,35,3504000029,NM,2018,03,01,"January, 2018",0,10097,8410,1687,16.70,,,20180301,03201801,61,No,0
McKinley County,000031,04,35,3504000031,NM,2018,03,01,"January, 2018",0,24213,22374,1839,7.60,,,20180301,03201801,62,No,0
Mora County,000033,04,35,3504000033,NM,2018,03,01,"January, 2018",0,2182,2013,169,7.70,,,20180301,03201801,63,No,0
Otero County,000035,04,35,3504000035,NM,2018,03,01,"January, 2018",0,25019,23715,1304,5.20,,,20180301,03201801,64,No,0
Quay County,000037,04,35,3504000037,NM,2018,03,01,"January, 2018",0,3186,3034,152,4.80,,,20180301,03201801,65,No,0
Rio Arriba County,000039,04,35,3504000039,NM,2018,03,01,"January, 2018",0,16325,15366,959,5.90,,,20180301,03201801,66,No,0
