Area,Areatype,Stfips,Maparea,Stateabbrv,Periodyear,Periodtype,Period,Laborforce,Emplab,Unemp,Unemprate,Clfprate,Emppopratio,Areaname,Timeperiod,Adjusted,Fullperiod,Sortperiod,Rank,Preliminary,prelim
000031,04,35,3504000031,NM,2021,03,06,25573,22785,2788,10.90,,,McKinley County,"June, 2021",0,20210306,03202106,234,Yes,1
000033,04,35,3504000033,NM,2021,03,06,2131,1981,150,7.00,,,Mora County,"June, 2021",0,20210306,03202106,235,Yes,1
000035,04,35,3504000035,NM,2021,03,06,26779,24692,2087,7.80,,,Otero County,"June, 2021",0,20210306,03202106,236,Yes,1
000037,04,35,3504000037,NM,2021,03,06,3244,2993,251,7.70,,,Quay County,"June, 2021",0,20210306,03202106,237,Yes,1
000039,04,35,3504000039,NM,2021,03,06,17690,16236,1454,8.20,,,Rio Arriba County,"June, 2021",0,20210306,03202106,238,Yes,1
000041,04,35,3504000041,NM,2021,03,06,8394,7812,582,6.90,,,Roosevelt County,"June, 2021",0,20210306,03202106,239,Yes,1
000043,04,35,3504000043,NM,2021,03,06,66446,60858,5588,8.40,,,Sandoval County,"June, 2021",0,20210306,03202106,240,Yes,1
000045,04,35,3504000045,NM,2021,03,06,50096,45140,4956,9.90,,,San Juan County,"June, 2021",0,20210306,03202106,241,Yes,1
000047,04,35,3504000047,NM,2021,03,06,10908,9957,951,8.70,,,San Miguel County,"June, 2021",0,20210306,03202106,242,Yes,1
000049,04,35,3504000049,NM,2021,03,06,70806,65272,5534,7.80,,,Santa Fe County,"June, 2021",0,20210306,03202106,243,Yes,1
000051,04,35,3504000051,NM,2021,03,06,4479,4080,399,8.90,,,Sierra County,"June, 2021",0,20210306,03202106,244,Yes,1
000053,04,35,3504000053,NM,2021,03,06,6599,6088,511,7.70,,,Socorro County,"June, 2021",0,20210306,03202106,245,Yes,1
000055,04,35,3504000055,NM,2021,03,06,15358,13766,1592,10.40,,,Taos County,"June, 2021",0,20210306,03202106,246,Yes,1
000057,04,35,3504000057,NM,2021,03,06,5369,4839,530,9.90,,,Torrance County,"June, 2021",0,20210306,03202106,247,Yes,1
000059,04,35,3504000059,NM,2021,03,06,1676,1595,81,4.80,,,Union County,"June, 2021",0,20210306,03202106,248,Yes,1
000061,04,35,3504000061,NM,2021,03,06,30492,27838,2654,8.70,,,Valencia County,"June, 2021",0,20210306,03202106,249,Yes,1
000005,15,35,3515000005,NM,2021,03,06,433204,398304,34900,8.10,,,Central Region,"June, 2021",0,20210306,03202106,250,Yes,1
000010,15,35,3515000010,NM,2021,03,06,135485,123300,12185,9.00,,,Southwestern Region,"June, 2021",0,20210306,03202106,251,Yes,1
000015,15,35,3515000015,NM,2021,03,06,218868,199618,19250,8.80,,,Northern Region,"June, 2021",0,20210306,03202106,252,Yes,1
000020,15,35,3515000020,NM,2021,03,06,169049,155443,13606,8.00,,,Eastern Region,"June, 2021",0,20210306,03202106,253,Yes,1
010740,21,35,3521010740,NM,2021,03,06,433204,398304,34900,8.10,,,Albuquerque MSA,"June, 2021",0,20210306,03202106,254,Yes,1
022140,21,35,3521022140,NM,2021,03,06,50096,45140,4956,9.90,,,Farmington MSA,"June, 2021",0,20210306,03202106,255,Yes,1
029740,21,35,3521029740,NM,2021,03,06,97895,89705,8190,8.40,,,Las Cruces MSA,"June, 2021",0,20210306,03202106,256,Yes,1
042140,21,35,3521042140,NM,2021,03,06,70806,65272,5534,7.80,,,Santa Fe MSA,"June, 2021",0,20210306,03202106,257,Yes,1
