Areaname,Area,Areatype,Stfips,Maparea,Stateabbrv,Periodyear,Periodtype,Period,Timeperiod,Adjusted,Laborforce,Emplab,Unemp,Unemprate,Clfprate,Emppopratio,Fullperiod,Sortperiod,Rank,Preliminary,prelim
Cibola County,000006,04,35,3504000006,NM,2019,03,02,"February, 2019",0,9070,8447,623,6.90,,,20190302,03201902,91,No,0
Colfax County,000007,04,35,3504000007,NM,2019,03,02,"February, 2019",0,5388,5122,266,4.90,,,20190302,03201902,92,No,0
Curry County,000009,04,35,3504000009,NM,2019,03,02,"February, 2019",0,21916,20998,918,4.20,,,20190302,03201902,93,No,0
De Baca County,000011,04,35,3504000011,NM,2019,03,02,"February, 2019",0,809,770,39,4.80,,,20190302,03201902,94,No,0
Doña Ana County,000013,04,35,3504000013,NM,2019,03,02,"February, 2019",0,98611,92291,6320,6.40,,,20190302,03201902,95,No,0
Eddy County,000015,04,35,3504000015,NM,2019,03,02,"February, 2019",0,34027,32944,1083,3.20,,,20190302,03201902,96,No,0
Grant County,000017,04,35,3504000017,NM,2019,03,02,"February, 2019",0,12428,11787,641,5.20,,,20190302,03201902,97,No,0
Guadalupe County,000019,04,35,3504000019,NM,2019,03,02,"February, 2019",0,1527,1436,91,6.00,,,20190302,03201902,98,No,0
Harding County,000021,04,35,3504000021,NM,2019,03,02,"February, 2019",0,268,256,12,4.50,,,20190302,03201902,99,No,0
Hidalgo County,000023,04,35,3504000023,NM,2019,03,02,"February, 2019",0,2109,2025,84,4.00,,,20190302,03201902,100,No,0
Lea County,000025,04,35,3504000025,NM,2019,03,02,"February, 2019",0,31390,30167,1223,3.90,,,20190302,03201902,101,No,0
Lincoln County,000027,04,35,3504000027,NM,2019,03,02,"February, 2019",0,8726,8264,462,5.30,,,20190302,03201902,102,No,0
Los Alamos County,000028,04,35,3504000028,NM,2019,03,02,"February, 2019",0,9363,9052,311,3.30,,,20190302,03201902,103,No,0
Luna County,000029,04,35,3504000029,NM,2019,03,02,"February, 2019",0,10283,8485,1798,17.50,,,20190302,03201902,104,No,0
McKinley County,000031,04,35,3504000031,NM,2019,03,02,"February, 2019",0,24498,22654,1844,7.50,,,20190302,03201902,105,No,0
Mora County,000033,04,35,3504000033,NM,2019,03,02,"February, 2019",0,2168,2007,161,7.40,,,20190302,03201902,106,No,0
Otero County,000035,04,35,3504000035,NM,2019,03,02,"February, 2019",0,25210,23897,1313,5.20,,,20190302,03201902,107,No,0
Quay County,000037,04,35,3504000037,NM,2019,03,02,"February, 2019",0,3270,3095,175,5.40,,,20190302,03201902,108,No,0
Rio Arriba County,000039,04,35,3504000039,NM,2019,03,02,"February, 2019",0,16625,15620,1005,6.00,,,20190302,03201902,109,No,0
Roosevelt County,000041,04,35,3504000041,NM,2019,03,02,"February, 2019",0,8022,7669,353,4.40,,,20190302,03201902,110,No,0
Sandoval County,000043,04,35,3504000043,NM,2019,03,02,"February, 2019",0,67321,63917,3404,5.10,,,20190302,03201902,111,No,0
San Juan County,000045,04,35,3504000045,NM,2019,03,02,"February, 2019",0,52475,49204,3271,6.20,,,20190302,03201902,112,No,0
San Miguel County,000047,04,35,3504000047,NM,2019,03,02,"February, 2019",0,10968,10293,675,6.20,,,20190302,03201902,113,No,0
Santa Fe County,000049,04,35,3504000049,NM,2019,03,02,"February, 2019",0,73684,70455,3229,4.40,,,20190302,03201902,114,No,0
Sierra County,000051,04,35,3504000051,NM,2019,03,02,"February, 2019",0,3827,3488,339,8.90,,,20190302,03201902,115,No,0
Socorro County,000053,04,35,3504000053,NM,2019,03,02,"February, 2019",0,6529,6143,386,5.90,,,20190302,03201902,116,No,0
Taos County,000055,04,35,3504000055,NM,2019,03,02,"February, 2019",0,15802,14740,1062,6.70,,,20190302,03201902,117,No,0
Torrance County,000057,04,35,3504000057,NM,2019,03,02,"February, 2019",0,5569,5125,444,8.00,,,20190302,03201902,118,No,0
Union County,000059,04,35,3504000059,NM,2019,03,02,"February, 2019",0,1838,1768,70,3.80,,,20190302,03201902,119,No,0
Valencia County,000061,04,35,3504000061,NM,2019,03,02,"February, 2019",0,30812,29124,1688,5.50,,,20190302,03201902,120,No,0
Central Region,000005,15,35,3515000005,NM,2019,03,02,"February, 2019",0,438623,417411,21212,4.80,,,20190302,03201902,121,No,0
Southwestern Region,000010,15,35,3515000010,NM,2019,03,02,"February, 2019",0,134913,125261,9652,7.20,,,20190302,03201902,122,No,0
Northern Region,000015,15,35,3515000015,NM,2019,03,02,"February, 2019",0,220041,207594,12447,5.70,,,20190302,03201902,123,No,0
Eastern Region,000020,15,35,3515000020,NM,2019,03,02,"February, 2019",0,164505,157462,7043,4.30,,,20190302,03201902,124,No,0
Albuquerque MSA,010740,21,35,3521010740,NM,2019,03,02,"February, 2019",0,438623,417411,21212,4.80,,,20190302,03201902,125,No,0
Farmington MSA,022140,21,35,3521022140,NM,2019,03,02,"February, 2019",0,52475,49204,3271,6.20,,,20190302,03201902,126,No,0
Las Cruces MSA,029740,21,35,3521029740,NM,2019,03,02,"February, 2019",0,98611,92291,6320,6.40,,,20190302,03201902,127,No,0
Santa Fe MSA,042140,21,35,3521042140,NM,2019,03,02,"February, 2019",0,73684,70455,3229,4.40,,,20190302,03201902,128,No,0
United States,000000,00,00,0000000000,US,2019,03,03,"March, 2019",0,162823000,156441000,6382000,3.90,63.0,60.5,20190303,03201903,129,No,0
New Mexico,000000,01,35,3501000000,NM,2019,03,03,"March, 2019",0,951852,905584,46268,4.90,58.1,55.3,20190303,03201903,130,No,0
Bernalillo County,000001,04,35,3504000001,NM,2019,03,03,"March, 2019",0,332880,318412,14468,4.30,,,20190303,03201903,131,No,0
Catron County,000003,04,35,3504000003,NM,2019,03,03,"March, 2019",0,1066,993,73,6.80,,,20190303,03201903,132,No,0
Chaves County,000005,04,35,3504000005,NM,2019,03,03,"March, 2019",0,27346,26102,1244,4.50,,,20190303,03201903,133,No,0
Cibola County,000006,04,35,3504000006,NM,2019,03,03,"March, 2019",0,9006,8457,549,6.10,,,20190303,03201903,134,No,0
Colfax County,000007,04,35,3504000007,NM,2019,03,03,"March, 2019",0,5309,5058,251,4.70,,,20190303,03201903,135,No,0
Curry County,000009,04,35,3504000009,NM,2019,03,03,"March, 2019",0,21871,21016,855,3.90,,,20190303,03201903,136,No,0
De Baca County,000011,04,35,3504000011,NM,2019,03,03,"March, 2019",0,812,776,36,4.40,,,20190303,03201903,137,No,0
Doña Ana County,000013,04,35,3504000013,NM,2019,03,03,"March, 2019",0,97876,91900,5976,6.10,,,20190303,03201903,138,No,0
Eddy County,000015,04,35,3504000015,NM,2019,03,03,"March, 2019",0,34122,33162,960,2.80,,,20190303,03201903,139,No,0
Grant County,000017,04,35,3504000017,NM,2019,03,03,"March, 2019",0,12307,11730,577,4.70,,,20190303,03201903,140,No,0
Guadalupe County,000019,04,35,3504000019,NM,2019,03,03,"March, 2019",0,1530,1444,86,5.60,,,20190303,03201903,141,No,0
Harding County,000021,04,35,3504000021,NM,2019,03,03,"March, 2019",0,267,255,12,4.50,,,20190303,03201903,142,No,0
Hidalgo County,000023,04,35,3504000023,NM,2019,03,03,"March, 2019",0,2038,1955,83,4.10,,,20190303,03201903,143,No,0
Lea County,000025,04,35,3504000025,NM,2019,03,03,"March, 2019",0,30914,29780,1134,3.70,,,20190303,03201903,144,No,0
Lincoln County,000027,04,35,3504000027,NM,2019,03,03,"March, 2019",0,8733,8310,423,4.80,,,20190303,03201903,145,No,0
Los Alamos County,000028,04,35,3504000028,NM,2019,03,03,"March, 2019",0,9376,9088,288,3.10,,,20190303,03201903,146,No,0
Luna County,000029,04,35,3504000029,NM,2019,03,03,"March, 2019",0,10268,8570,1698,16.50,,,20190303,03201903,147,No,0
McKinley County,000031,04,35,3504000031,NM,2019,03,03,"March, 2019",0,24266,22606,1660,6.80,,,20190303,03201903,148,No,0
Mora County,000033,04,35,3504000033,NM,2019,03,03,"March, 2019",0,2207,2057,150,6.80,,,20190303,03201903,149,No,0
Otero County,000035,04,35,3504000035,NM,2019,03,03,"March, 2019",0,25018,23817,1201,4.80,,,20190303,03201903,150,No,0
Quay County,000037,04,35,3504000037,NM,2019,03,03,"March, 2019",0,3269,3088,181,5.50,,,20190303,03201903,151,No,0
Rio Arriba County,000039,04,35,3504000039,NM,2019,03,03,"March, 2019",0,16623,15715,908,5.50,,,20190303,03201903,152,No,0
Roosevelt County,000041,04,35,3504000041,NM,2019,03,03,"March, 2019",0,7954,7624,330,4.10,,,20190303,03201903,153,No,0
Sandoval County,000043,04,35,3504000043,NM,2019,03,03,"March, 2019",0,66856,63752,3104,4.60,,,20190303,03201903,154,No,0
San Juan County,000045,04,35,3504000045,NM,2019,03,03,"March, 2019",0,52080,49173,2907,5.60,,,20190303,03201903,155,No,0
San Miguel County,000047,04,35,3504000047,NM,2019,03,03,"March, 2019",0,10930,10326,604,5.50,,,20190303,03201903,156,No,0
Santa Fe County,000049,04,35,3504000049,NM,2019,03,03,"March, 2019",0,73043,70136,2907,4.00,,,20190303,03201903,157,No,0
Sierra County,000051,04,35,3504000051,NM,2019,03,03,"March, 2019",0,3769,3457,312,8.30,,,20190303,03201903,158,No,0
Socorro County,000053,04,35,3504000053,NM,2019,03,03,"March, 2019",0,6514,6170,344,5.30,,,20190303,03201903,159,No,0
Taos County,000055,04,35,3504000055,NM,2019,03,03,"March, 2019",0,15624,14689,935,6.00,,,20190303,03201903,160,No,0
Torrance County,000057,04,35,3504000057,NM,2019,03,03,"March, 2019",0,5536,5147,389,7.00,,,20190303,03201903,161,No,0
Union County,000059,04,35,3504000059,NM,2019,03,03,"March, 2019",0,1858,1797,61,3.30,,,20190303,03201903,162,No,0
Valencia County,000061,04,35,3504000061,NM,2019,03,03,"March, 2019",0,30587,29025,1562,5.10,,,20190303,03201903,163,No,0
Central Region,000005,15,35,3515000005,NM,2019,03,03,"March, 2019",0,435859,416336,19523,4.50,,,20190303,03201903,164,No,0
Southwestern Region,000010,15,35,3515000010,NM,2019,03,03,"March, 2019",0,133838,124775,9063,6.80,,,20190303,03201903,165,No,0
Northern Region,000015,15,35,3515000015,NM,2019,03,03,"March, 2019",0,218464,207305,11159,5.10,,,20190303,03201903,166,No,0
Eastern Region,000020,15,35,3515000020,NM,2019,03,03,"March, 2019",0,163694,157171,6523,4.00,,,20190303,03201903,167,No,0
Albuquerque MSA,010740,21,35,3521010740,NM,2019,03,03,"March, 2019",0,435859,416336,19523,4.50,,,20190303,03201903,168,No,0
Farmington MSA,022140,21,35,3521022140,NM,2019,03,03,"March, 2019",0,52080,49173,2907,5.60,,,20190303,03201903,169,No,0
Las Cruces MSA,029740,21,35,3521029740,NM,2019,03,03,"March, 2019",0,97876,91900,5976,6.10,,,20190303,03201903,170,No,0
Santa Fe MSA,042140,21,35,3521042140,NM,2019,03,03,"March, 2019",0,73043,70136,2907,4.00,,,20190303,03201903,171,No,0
United States,000000,00,00,0000000000,US,2019,03,04,"April, 2019",0,162097000,156710000,5387000,3.30,62.7,60.6,20190304,03201904,172,No,0
New Mexico,000000,01,35,3501000000,NM,2019,03,04,"April, 2019",0,952773,909081,43692,4.60,58.1,55.5,20190304,03201904,173,No,0
Bernalillo County,000001,04,35,3504000001,NM,2019,03,04,"April, 2019",0,333966,320214,13752,4.10,,,20190304,03201904,174,No,0
Catron County,000003,04,35,3504000003,NM,2019,03,04,"April, 2019",0,1100,1035,65,5.90,,,20190304,03201904,175,No,0
Chaves County,000005,04,35,3504000005,NM,2019,03,04,"April, 2019",0,27319,26139,1180,4.30,,,20190304,03201904,176,No,0
Cibola County,000006,04,35,3504000006,NM,2019,03,04,"April, 2019",0,8928,8409,519,5.80,,,20190304,03201904,177,No,0
Colfax County,000007,04,35,3504000007,NM,2019,03,04,"April, 2019",0,5043,4778,265,5.30,,,20190304,03201904,178,No,0
Curry County,000009,04,35,3504000009,NM,2019,03,04,"April, 2019",0,21853,21040,813,3.70,,,20190304,03201904,179,No,0
De Baca County,000011,04,35,3504000011,NM,2019,03,04,"April, 2019",0,775,746,29,3.70,,,20190304,03201904,180,No,0
Doña Ana County,000013,04,35,3504000013,NM,2019,03,04,"April, 2019",0,98068,92511,5557,5.70,,,20190304,03201904,181,No,0
Eddy County,000015,04,35,3504000015,NM,2019,03,04,"April, 2019",0,33926,32978,948,2.80,,,20190304,03201904,182,No,0
Grant County,000017,04,35,3504000017,NM,2019,03,04,"April, 2019",0,12314,11767,547,4.40,,,20190304,03201904,183,No,0
Guadalupe County,000019,04,35,3504000019,NM,2019,03,04,"April, 2019",0,1547,1466,81,5.20,,,20190304,03201904,184,No,0
Harding County,000021,04,35,3504000021,NM,2019,03,04,"April, 2019",0,255,243,12,4.70,,,20190304,03201904,185,No,0
Hidalgo County,000023,04,35,3504000023,NM,2019,03,04,"April, 2019",0,2107,2030,77,3.70,,,20190304,03201904,186,No,0
Lea County,000025,04,35,3504000025,NM,2019,03,04,"April, 2019",0,31142,30052,1090,3.50,,,20190304,03201904,187,No,0
Lincoln County,000027,04,35,3504000027,NM,2019,03,04,"April, 2019",0,8889,8500,389,4.40,,,20190304,03201904,188,No,0
Los Alamos County,000028,04,35,3504000028,NM,2019,03,04,"April, 2019",0,9449,9166,283,3.00,,,20190304,03201904,189,No,0
Luna County,000029,04,35,3504000029,NM,2019,03,04,"April, 2019",0,10143,8651,1492,14.70,,,20190304,03201904,190,No,0
McKinley County,000031,04,35,3504000031,NM,2019,03,04,"April, 2019",0,24262,22739,1523,6.30,,,20190304,03201904,191,No,0
Mora County,000033,04,35,3504000033,NM,2019,03,04,"April, 2019",0,2194,2067,127,5.80,,,20190304,03201904,192,No,0
Otero County,000035,04,35,3504000035,NM,2019,03,04,"April, 2019",0,24828,23696,1132,4.60,,,20190304,03201904,193,No,0
Quay County,000037,04,35,3504000037,NM,2019,03,04,"April, 2019",0,3308,3138,170,5.10,,,20190304,03201904,194,No,0
Rio Arriba County,000039,04,35,3504000039,NM,2019,03,04,"April, 2019",0,16772,15937,835,5.00,,,20190304,03201904,195,No,0
Roosevelt County,000041,04,35,3504000041,NM,2019,03,04,"April, 2019",0,7825,7516,309,3.90,,,20190304,03201904,196,No,0
Sandoval County,000043,04,35,3504000043,NM,2019,03,04,"April, 2019",0,67084,64107,2977,4.40,,,20190304,03201904,197,No,0
San Juan County,000045,04,35,3504000045,NM,2019,03,04,"April, 2019",0,52394,49747,2647,5.10,,,20190304,03201904,198,No,0
San Miguel County,000047,04,35,3504000047,NM,2019,03,04,"April, 2019",0,10925,10337,588,5.40,,,20190304,03201904,199,No,0
Santa Fe County,000049,04,35,3504000049,NM,2019,03,04,"April, 2019",0,73017,70176,2841,3.90,,,20190304,03201904,200,No,0
Sierra County,000051,04,35,3504000051,NM,2019,03,04,"April, 2019",0,3774,3477,297,7.90,,,20190304,03201904,201,No,0
Socorro County,000053,04,35,3504000053,NM,2019,03,04,"April, 2019",0,6471,6142,329,5.10,,,20190304,03201904,202,No,0
Taos County,000055,04,35,3504000055,NM,2019,03,04,"April, 2019",0,14942,14038,904,6.10,,,20190304,03201904,203,No,0
Torrance County,000057,04,35,3504000057,NM,2019,03,04,"April, 2019",0,5562,5210,352,6.30,,,20190304,03201904,204,No,0
Union County,000059,04,35,3504000059,NM,2019,03,04,"April, 2019",0,1858,1806,52,2.80,,,20190304,03201904,205,No,0
Valencia County,000061,04,35,3504000061,NM,2019,03,04,"April, 2019",0,30731,29224,1507,4.90,,,20190304,03201904,206,No,0
Central Region,000005,15,35,3515000005,NM,2019,03,04,"April, 2019",0,437343,418755,18588,4.30,,,20190304,03201904,207,No,0
Southwestern Region,000010,15,35,3515000010,NM,2019,03,04,"April, 2019",0,133977,125613,8364,6.20,,,20190304,03201904,208,No,0
Northern Region,000015,15,35,3515000015,NM,2019,03,04,"April, 2019",0,217926,207394,10532,4.80,,,20190304,03201904,209,No,0
