Areaname,Area,Areatype,Stfips,Maparea,Stateabbrv,Periodyear,Periodtype,Period,Timeperiod,Adjusted,Laborforce,Emplab,Unemp,Unemprate,Clfprate,Emppopratio,Fullperiod,Sortperiod,Rank,Preliminary,prelim
United States,000000,00,00,0000000000,US,2019,01,00,2019,0,163539000,157538000,6001000,3.70,63.1,60.8,20190100,01201900,0,No,0
New Mexico,000000,01,35,3501000000,NM,2019,01,00,2019,0,960239,911926,48313,5.00,58.5,55.5,20190100,01201900,1,No,0
Bernalillo County,000001,04,35,3504000001,NM,2019,01,00,2019,0,335633,320206,15427,4.60,,,20190100,01201900,2,No,0
Catron County,000003,04,35,3504000003,NM,2019,01,00,2019,0,1143,1069,74,6.50,,,20190100,01201900,3,No,0
Chaves County,000005,04,35,3504000005,NM,2019,01,00,2019,0,27495,26114,1381,5.00,,,20190100,01201900,4,No,0
Cibola County,000006,04,35,3504000006,NM,2019,01,00,2019,0,9049,8464,585,6.50,,,20190100,01201900,5,No,0
Colfax County,000007,04,35,3504000007,NM,2019,01,00,2019,0,5538,5272,266,4.80,,,20190100,01201900,6,No,0
Curry County,000009,04,35,3504000009,NM,2019,01,00,2019,0,21785,20858,927,4.30,,,20190100,01201900,7,No,0
De Baca County,000011,04,35,3504000011,NM,2019,01,00,2019,0,795,760,35,4.40,,,20190100,01201900,8,No,0
Doña Ana County,000013,04,35,3504000013,NM,2019,01,00,2019,0,98591,92799,5792,5.90,,,20190100,01201900,9,No,0
Eddy County,000015,04,35,3504000015,NM,2019,01,00,2019,0,34703,33593,1110,3.20,,,20190100,01201900,10,No,0
Grant County,000017,04,35,3504000017,NM,2019,01,00,2019,0,12289,11683,606,4.90,,,20190100,01201900,11,No,0
Guadalupe County,000019,04,35,3504000019,NM,2019,01,00,2019,0,1575,1490,85,5.40,,,20190100,01201900,12,No,0
Harding County,000021,04,35,3504000021,NM,2019,01,00,2019,0,270,257,13,4.80,,,20190100,01201900,13,No,0
Hidalgo County,000023,04,35,3504000023,NM,2019,01,00,2019,0,2099,2007,92,4.40,,,20190100,01201900,14,No,0
Lea County,000025,04,35,3504000025,NM,2019,01,00,2019,0,31433,30138,1295,4.10,,,20190100,01201900,15,No,0
Lincoln County,000027,04,35,3504000027,NM,2019,01,00,2019,0,9059,8629,430,4.70,,,20190100,01201900,16,No,0
Los Alamos County,000028,04,35,3504000028,NM,2019,01,00,2019,0,9618,9302,316,3.30,,,20190100,01201900,17,No,0
Luna County,000029,04,35,3504000029,NM,2019,01,00,2019,0,10446,9139,1307,12.50,,,20190100,01201900,18,No,0
McKinley County,000031,04,35,3504000031,NM,2019,01,00,2019,0,24364,22605,1759,7.20,,,20190100,01201900,19,No,0
Mora County,000033,04,35,3504000033,NM,2019,01,00,2019,0,2231,2093,138,6.20,,,20190100,01201900,20,No,0
Otero County,000035,04,35,3504000035,NM,2019,01,00,2019,0,25047,23768,1279,5.10,,,20190100,01201900,21,No,0
Quay County,000037,04,35,3504000037,NM,2019,01,00,2019,0,3236,3062,174,5.40,,,20190100,01201900,22,No,0
Rio Arriba County,000039,04,35,3504000039,NM,2019,01,00,2019,0,16860,15941,919,5.50,,,20190100,01201900,23,No,0
Roosevelt County,000041,04,35,3504000041,NM,2019,01,00,2019,0,7907,7543,364,4.60,,,20190100,01201900,24,No,0
Sandoval County,000043,04,35,3504000043,NM,2019,01,00,2019,0,67492,64133,3359,5.00,,,20190100,01201900,25,No,0
San Juan County,000045,04,35,3504000045,NM,2019,01,00,2019,0,52301,49222,3079,5.90,,,20190100,01201900,26,No,0
San Miguel County,000047,04,35,3504000047,NM,2019,01,00,2019,0,10845,10199,646,6.00,,,20190100,01201900,27,No,0
Santa Fe County,000049,04,35,3504000049,NM,2019,01,00,2019,0,74198,71109,3089,4.20,,,20190100,01201900,28,No,0
Sierra County,000051,04,35,3504000051,NM,2019,01,00,2019,0,3943,3672,271,6.90,,,20190100,01201900,29,No,0
Socorro County,000053,04,35,3504000053,NM,2019,01,00,2019,0,6493,6103,390,6.00,,,20190100,01201900,30,No,0
Taos County,000055,04,35,3504000055,NM,2019,01,00,2019,0,15301,14353,948,6.20,,,20190100,01201900,31,No,0
Torrance County,000057,04,35,3504000057,NM,2019,01,00,2019,0,5688,5292,396,7.00,,,20190100,01201900,32,No,0
Union County,000059,04,35,3504000059,NM,2019,01,00,2019,0,1867,1801,66,3.50,,,20190100,01201900,33,No,0
Valencia County,000061,04,35,3504000061,NM,2019,01,00,2019,0,30945,29250,1695,5.50,,,20190100,01201900,34,No,0
Central Region,000005,15,35,3515000005,NM,2019,01,00,2019,0,439758,418881,20877,4.70,,,20190100,01201900,35,No,0
Southwestern Region,000010,15,35,3515000010,NM,2019,01,00,2019,0,135004,126472,8532,6.30,,,20190100,01201900,36,No,0
Northern Region,000015,15,35,3515000015,NM,2019,01,00,2019,0,220305,208560,11745,5.30,,,20190100,01201900,37,No,0
Eastern Region,000020,15,35,3515000020,NM,2019,01,00,2019,0,165172,158013,7159,4.30,,,20190100,01201900,38,No,0
Albuquerque MSA,010740,21,35,3521010740,NM,2019,01,00,2019,0,439758,418881,20877,4.70,,,20190100,01201900,39,No,0
Farmington MSA,022140,21,35,3521022140,NM,2019,01,00,2019,0,52301,49222,3079,5.90,,,20190100,01201900,40,No,0
Las Cruces MSA,029740,21,35,3521029740,NM,2019,01,00,2019,0,98591,92799,5792,5.90,,,20190100,01201900,41,No,0
Santa Fe MSA,042140,21,35,3521042140,NM,2019,01,00,2019,0,74198,71109,3089,4.20,,,20190100,01201900,42,No,0
United States,000000,00,00,0000000000,US,2019,03,01,"January, 2019",0,162104000,154964000,7140000,4.40,62.8,60.0,20190301,03201901,43,No,0
New Mexico,000000,01,35,3501000000,NM,2019,03,01,"January, 2019",0,952060,899341,52719,5.50,58.2,54.9,20190301,03201901,44,No,0
Bernalillo County,000001,04,35,3504000001,NM,2019,03,01,"January, 2019",0,332507,315946,16561,5.00,,,20190301,03201901,45,No,0
Catron County,000003,04,35,3504000003,NM,2019,03,01,"January, 2019",0,1140,1051,89,7.80,,,20190301,03201901,46,No,0
Chaves County,000005,04,35,3504000005,NM,2019,03,01,"January, 2019",0,27549,26167,1382,5.00,,,20190301,03201901,47,No,0
Cibola County,000006,04,35,3504000006,NM,2019,03,01,"January, 2019",0,9063,8428,635,7.00,,,20190301,03201901,48,No,0
Colfax County,000007,04,35,3504000007,NM,2019,03,01,"January, 2019",0,5431,5154,277,5.10,,,20190301,03201901,49,No,0
Curry County,000009,04,35,3504000009,NM,2019,03,01,"January, 2019",0,21855,20910,945,4.30,,,20190301,03201901,50,No,0
De Baca County,000011,04,35,3504000011,NM,2019,03,01,"January, 2019",0,799,761,38,4.80,,,20190301,03201901,51,No,0
Doña Ana County,000013,04,35,3504000013,NM,2019,03,01,"January, 2019",0,97203,90804,6399,6.60,,,20190301,03201901,52,No,0
Eddy County,000015,04,35,3504000015,NM,2019,03,01,"January, 2019",0,33651,32513,1138,3.40,,,20190301,03201901,53,No,0
Grant County,000017,04,35,3504000017,NM,2019,03,01,"January, 2019",0,12276,11584,692,5.60,,,20190301,03201901,54,No,0
Guadalupe County,000019,04,35,3504000019,NM,2019,03,01,"January, 2019",0,1518,1419,99,6.50,,,20190301,03201901,55,No,0
Harding County,000021,04,35,3504000021,NM,2019,03,01,"January, 2019",0,276,262,14,5.10,,,20190301,03201901,56,No,0
Hidalgo County,000023,04,35,3504000023,NM,2019,03,01,"January, 2019",0,2108,2012,96,4.60,,,20190301,03201901,57,No,0
Lea County,000025,04,35,3504000025,NM,2019,03,01,"January, 2019",0,31368,30066,1302,4.20,,,20190301,03201901,58,No,0
Lincoln County,000027,04,35,3504000027,NM,2019,03,01,"January, 2019",0,8812,8301,511,5.80,,,20190301,03201901,59,No,0
Los Alamos County,000028,04,35,3504000028,NM,2019,03,01,"January, 2019",0,9314,8981,333,3.60,,,20190301,03201901,60,No,0
Luna County,000029,04,35,3504000029,NM,2019,03,01,"January, 2019",0,10146,8409,1737,17.10,,,20190301,03201901,61,No,0
McKinley County,000031,04,35,3504000031,NM,2019,03,01,"January, 2019",0,24625,22650,1975,8.00,,,20190301,03201901,62,No,0
Mora County,000033,04,35,3504000033,NM,2019,03,01,"January, 2019",0,2186,2023,163,7.50,,,20190301,03201901,63,No,0
Otero County,000035,04,35,3504000035,NM,2019,03,01,"January, 2019",0,25233,23836,1397,5.50,,,20190301,03201901,64,No,0
Quay County,000037,04,35,3504000037,NM,2019,03,01,"January, 2019",0,3222,3047,175,5.40,,,20190301,03201901,65,No,0
Rio Arriba County,000039,04,35,3504000039,NM,2019,03,01,"January, 2019",0,16523,15477,1046,6.30,,,20190301,03201901,66,No,0
Roosevelt County,000041,04,35,3504000041,NM,2019,03,01,"January, 2019",0,7905,7545,360,4.60,,,20190301,03201901,67,No,0
Sandoval County,000043,04,35,3504000043,NM,2019,03,01,"January, 2019",0,66795,63171,3624,5.40,,,20190301,03201901,68,No,0
San Juan County,000045,04,35,3504000045,NM,2019,03,01,"January, 2019",0,52085,48633,3452,6.60,,,20190301,03201901,69,No,0
San Miguel County,000047,04,35,3504000047,NM,2019,03,01,"January, 2019",0,10838,10125,713,6.60,,,20190301,03201901,70,No,0
Santa Fe County,000049,04,35,3504000049,NM,2019,03,01,"January, 2019",0,73379,69971,3408,4.60,,,20190301,03201901,71,No,0
Sierra County,000051,04,35,3504000051,NM,2019,03,01,"January, 2019",0,3866,3542,324,8.40,,,20190301,03201901,72,No,0
Socorro County,000053,04,35,3504000053,NM,2019,03,01,"January, 2019",0,6512,6090,422,6.50,,,20190301,03201901,73,No,0
Taos County,000055,04,35,3504000055,NM,2019,03,01,"January, 2019",0,15861,14801,1060,6.70,,,20190301,03201901,74,No,0
Torrance County,000057,04,35,3504000057,NM,2019,03,01,"January, 2019",0,5566,5072,494,8.90,,,20190301,03201901,75,No,0
Union County,000059,04,35,3504000059,NM,2019,03,01,"January, 2019",0,1818,1749,69,3.80,,,20190301,03201901,76,No,0
Valencia County,000061,04,35,3504000061,NM,2019,03,01,"January, 2019",0,30628,28843,1785,5.80,,,20190301,03201901,77,No,0
Central Region,000005,15,35,3515000005,NM,2019,03,01,"January, 2019",0,435496,413032,22464,5.20,,,20190301,03201901,78,No,0
Southwestern Region,000010,15,35,3515000010,NM,2019,03,01,"January, 2019",0,133251,123492,9759,7.30,,,20190301,03201901,79,No,0
Northern Region,000015,15,35,3515000015,NM,2019,03,01,"January, 2019",0,219305,206243,13062,6.00,,,20190301,03201901,80,No,0
Eastern Region,000020,15,35,3515000020,NM,2019,03,01,"January, 2019",0,164006,156576,7430,4.50,,,20190301,03201901,81,No,0
Albuquerque MSA,010740,21,35,3521010740,NM,2019,03,01,"January, 2019",0,435496,413032,22464,5.20,,,20190301,03201901,82,No,0
Farmington MSA,022140,21,35,3521022140,NM,2019,03,01,"January, 2019",0,52085,48633,3452,6.60,,,20190301,03201901,83,No,0
Las Cruces MSA,029740,21,35,3521029740,NM,2019,03,01,"January, 2019",0,97203,90804,6399,6.60,,,20190301,03201901,84,No,0
Santa Fe MSA,042140,21,35,3521042140,NM,2019,03,01,"January, 2019",0,73379,69971,3408,4.60,,,20190301,03201901,85,No,0
United States,000000,00,00,0000000000,US,2019,03,02,"February, 2019",0,162793000,156167000,6625000,4.10,63.0,60.4,20190302,03201902,86,No,0
New Mexico,000000,01,35,3501000000,NM,2019,03,02,"February, 2019",0,958082,907727,50355,5.30,58.5,55.4,20190302,03201902,87,No,0
Bernalillo County,000001,04,35,3504000001,NM,2019,03,02,"February, 2019",0,334921,319245,15676,4.70,,,20190302,03201902,88,No,0
Catron County,000003,04,35,3504000003,NM,2019,03,02,"February, 2019",0,1126,1042,84,7.50,,,20190302,03201902,89,No,0
Chaves County,000005,04,35,3504000005,NM,2019,03,02,"February, 2019",0,27502,26198,1304,4.70,,,20190302,03201902,90,No,0
