Areaname,Area,Areatype,Stfips,Maparea,Stateabbrv,Periodyear,Periodtype,Period,Timeperiod,Adjusted,Laborforce,Emplab,Unemp,Unemprate,Clfprate,Emppopratio,Fullperiod,Sortperiod,Rank,Preliminary,prelim
United States,000000,00,00,0000000000,US,2020,01,00,2020,0,160742000,147795000,12947000,8.10,61.7,56.8,20200100,01202000,0,No,0
New Mexico,000000,01,35,3501000000,NM,2020,01,00,2020,0,943287,863874,79413,8.40,57.1,52.3,20200100,01202000,1,No,0
Bernalillo County,000001,04,35,3504000001,NM,2020,01,00,2020,0,330645,303820,26825,8.10,,,20200100,01202000,2,No,0
Catron County,000003,04,35,3504000003,NM,2020,01,00,2020,0,1159,1075,84,7.20,,,20200100,01202000,3,No,0
Chaves County,000005,04,35,3504000005,NM,2020,01,00,2020,0,28107,25833,2274,8.10,,,20200100,01202000,4,No,0
Cibola County,000006,04,35,3504000006,NM,2020,01,00,2020,0,9120,8278,842,9.20,,,20200100,01202000,5,No,0
Colfax County,000007,04,35,3504000007,NM,2020,01,00,2020,0,5191,4824,367,7.10,,,20200100,01202000,6,No,0
Curry County,000009,04,35,3504000009,NM,2020,01,00,2020,0,22292,21068,1224,5.50,,,20200100,01202000,7,No,0
De Baca County,000011,04,35,3504000011,NM,2020,01,00,2020,0,710,675,35,4.90,,,20200100,01202000,8,No,0
Doña Ana County,000013,04,35,3504000013,NM,2020,01,00,2020,0,97153,89080,8073,8.30,,,20200100,01202000,9,No,0
Eddy County,000015,04,35,3504000015,NM,2020,01,00,2020,0,33700,31384,2316,6.90,,,20200100,01202000,10,No,0
Grant County,000017,04,35,3504000017,NM,2020,01,00,2020,0,11893,10819,1074,9.00,,,20200100,01202000,11,No,0
Guadalupe County,000019,04,35,3504000019,NM,2020,01,00,2020,0,1531,1428,103,6.70,,,20200100,01202000,12,No,0
Harding County,000021,04,35,3504000021,NM,2020,01,00,2020,0,276,264,12,4.30,,,20200100,01202000,13,No,0
Hidalgo County,000023,04,35,3504000023,NM,2020,01,00,2020,0,1956,1842,114,5.80,,,20200100,01202000,14,No,0
Lea County,000025,04,35,3504000025,NM,2020,01,00,2020,0,29545,26281,3264,11.00,,,20200100,01202000,15,No,0
Lincoln County,000027,04,35,3504000027,NM,2020,01,00,2020,0,8943,8154,789,8.80,,,20200100,01202000,16,No,0
Los Alamos County,000028,04,35,3504000028,NM,2020,01,00,2020,0,9974,9603,371,3.70,,,20200100,01202000,17,No,0
Luna County,000029,04,35,3504000029,NM,2020,01,00,2020,0,10372,8727,1645,15.90,,,20200100,01202000,18,No,0
McKinley County,000031,04,35,3504000031,NM,2020,01,00,2020,0,24034,21556,2478,10.30,,,20200100,01202000,19,No,0
Mora County,000033,04,35,3504000033,NM,2020,01,00,2020,0,2064,1898,166,8.00,,,20200100,01202000,20,No,0
Otero County,000035,04,35,3504000035,NM,2020,01,00,2020,0,25695,23555,2140,8.30,,,20200100,01202000,21,No,0
Quay County,000037,04,35,3504000037,NM,2020,01,00,2020,0,3099,2870,229,7.40,,,20200100,01202000,22,No,0
Rio Arriba County,000039,04,35,3504000039,NM,2020,01,00,2020,0,16816,15455,1361,8.10,,,20200100,01202000,23,No,0
Roosevelt County,000041,04,35,3504000041,NM,2020,01,00,2020,0,7934,7443,491,6.20,,,20200100,01202000,24,No,0
Sandoval County,000043,04,35,3504000043,NM,2020,01,00,2020,0,66325,60627,5698,8.60,,,20200100,01202000,25,No,0
San Juan County,000045,04,35,3504000045,NM,2020,01,00,2020,0,50367,45321,5046,10.00,,,20200100,01202000,26,No,0
San Miguel County,000047,04,35,3504000047,NM,2020,01,00,2020,0,10516,9646,870,8.30,,,20200100,01202000,27,No,0
